Location Name,Address,Cuisine Compatibility,Image URL,Average Store Size (sq ft),Average Lease Rate ($/sq ft),Vacancy Status,Price Range
Eastridge Mall,"2200 Eastridge Loop, San Jose, CA 95122","Fast Casual, Family Dining, International Cuisines, Quick Service, Food Truck",https://www.sanjose.org/sites/default/files/2018-01/rendering-800x600.jpg,2750.0,4.25,2 vacant spots open,$$-$$$
Westfield Valley Fair,"2855 Stevens Creek Blvd, Santa Clara, CA 95050","Upscale Dining, Trendy Cafés, Ethnic Cuisines, Dessert Shops",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSj05uytMqO-elkUYd69aFmPRdi7Oa6vBbQjg&s,3500.0,6.75,No vacant spots,$$-$$$$
Santana Row,"377 Santana Row, San Jose, CA 95128","Upscale Casual Dining, Wine Bars, Specialty Cuisines, Outdoor Dining",https://images.squarespace-cdn.com/content/v1/5317656de4b02dddf7555ac2/1410747966217-VOGZNT57WRUM587VGAG4/Santana+Row.png?format=1000w,3000.0,7.5,Coming Soon!,$$-$$$$
Oakridge Mall,"925 Blossom Hill Rd, San Jose, CA 95123","Family-Friendly Dining, Fast Food Chains, Healthy Fast Casual, Coffee Shops",https://www.siliconvalley.com/wp-content/uploads/2024/02/SJM-L-CVSJMALLS-xxxx-02-9.jpg?w=1024,2750.0,4.25,3 vacant spots open,$$-$$$
Westgate Center,"1600 Saratoga Ave, San Jose, CA 95129","Casual Dining, Asian Cuisines, Fast-Casual Concepts, Coffee and Dessert Shops",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKJQfErHDKfccr5NIHlCxRktHk4s_LqQgIpA&s,2500.0,3.75,1 vacant spot open,$-$$$
The Plant Shopping Center,"1 Curtner Ave, San Jose, CA 95125","Casual Dining, Fast Casual Options, Very American, Plenty of Franchises",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShEJAipENPVpf0mVq5HGdJzwQJUbdz-whKVA&s,2750.0,4.25,1 vacant spot open,$-$$$$
San Jose Market Center,"1000 Coleman Ave, San Jose, CA 95110","Quick-Service Restaurants, Ethnic Food Options, Family Dining, Health-Conscious Options",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBzW_p13TOzdUZw9fHG47JT1jz_BSoorWVXw&s,2500.0,3.75,1 vacant spot open,$$
Grand Century Shopping Mall,"1111 Story Rd, San Jose, CA 95122","Very Asian Cuisines, Food Court Style Options, Quick-Service Restaurants, Dessert Shops",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiu_3_nJVE6M8xu5cajs52uZlFtODeY-J3o5rKifB9WeI5ivPkhlVCq5YPBIEIpg10gxSyXrcsViTy0O3e5vxu1hiVCKvU6Ezqi80TluUKVeih8jGsWGU02UfdcyTbfD4z3zj1fLQ/w1200-h630-p-k-no-nu/grand-century-exterior.jpg,2000.0,3.75,No vacant spots,$$-$$$
Willow Glen Plaza Shopping Center,"1300 Lincoln Ave, San Jose, CA 95125","Casual Dining, Brunch Spots, Bakeries, Family-Friendly Restaurants",https://www.valeriemeinhomes.com/wp-content/uploads/2022/10/full2-e1670483592140.jpeg,2000.0,3.75,Coming Soon!,$$-$$$
Willow Plaza,"820-860 Willow St, San Jose, CA 95125","Quick-Service Restaurants, Family-Friendly Dining, Casual Dining, Specialty Coffee Shops",https://images1.loopnet.com/i2/U6PvQGtGyxsj2T6zOWUv-CBDpBa6dN0KrkvLSgL-1S4/112/820-Willow-St-San-Jose-CA-Building-Photo-1-HighDefinition.jpg,2000.0,3.75,Coming Soon!,$-$$$
Cambrian Park Plaza,"14406 Union Ave, San Jose, CA 95124","Casual Family Dining, Fast Casual, Ethnic Cuisines, Coffee Shops",https://sanjosespotlight.s3.us-east-2.amazonaws.com/wp-content/uploads/2021/03/25150658/cambriancarousel1-scaled-e1639593652973-1160x560.jpg,2000.0,3.75,1 vacant spot open,$$-$$$
Plaza de San Jose,"1760 Story Rd, San Jose, CA 95122","Latin American Cuisines, Fast Casual Dining, Family-Friendly Restaurants, Snack Shops",https://upload.wikimedia.org/wikipedia/commons/f/fe/Plaza_de_San_Jos%C3%A9_in_the_Story_%26_King_neighborhood_of_East_San_Jose_1199.jpg,2000.0,3.75,No vacant spots,$-$$$
Almaden Plaza,"5353 Almaden Expy, San Jose, CA 95118","Casual Dining, Fast Casual Options, American Diners, International Cuisines",https://images1.loopnet.com/i2/_44JkoHqei-Zf5PWfFwcOR6OByxBW3hkExq36TstqVQ/118/image.jpg,2500.0,3.75,No vacant spots,$-$$
Downtown Farmers Market,"San Pedro Square, San Jose, CA 95110","Food Trucks and Stalls, Organic Concepts, Quick Bites, Ethnic Cuisines",https://images.squarespace-cdn.com/content/v1/5fd3c36b42b3ce0af68e50ba/f8a11e31-2488-4ce7-8741-f6edb411b807/i-6pLfJkv.jpg,2000.0,3.75,1 vacant spot open,$-$$$
Canyon Creek Plaza,"5615 Silver Creek Valley Rd, San Jose, CA 95138","Casual Dining, Family-Friendly Restaurants, Fast-Casual Options, Coffee Shops",https://d2v9kn8vtn478j.cloudfront.net/production/building/images/attachments/000/030/095/normal/5877.jpg?1664882025,2250.0,3.75,1 vacant spot open,$$-$$$
Sunrise Plaza Shopping Center,"2455 S King Rd, San Jose, CA 95122","Quick-Service Restaurants, Family Dining, Ethnic Food Options, Cafés",https://live.staticflickr.com/2763/4186801104_d44976de78_b.jpg,2250.0,3.75,1 vacant spot open,$$-$$$
Princeton Plaza Mall,"1375 Blossom Hill Rd, San Jose, CA 95118","Casual Dining, Fast Casual, Family-Friendly Restaurants, Coffee Shops",https://media.truva.com/image/upload/t_small_image/t_invisible_watermark/f_auto/sshxwtpkhrbpssrqfk6f,2250.0,3.75,2 vacant spots open,$$-$$$
Capitol Expressway Plaza,"2850 Quimby Rd, San Jose, CA 95148","Fast Casual, Family-Friendly Options, American Diner Concepts, International Cuisines",https://images.crexi.com/lease-assets/447082/3be911928e244e39b40eeb2026710bff_716x444.jpg,2500.0,3.75,3 vacant spots open,$-$$
Story Road Plaza,"1025 Story Rd, San Jose, CA 95122","Quick-Service Restaurants, Casual Dining, Ethnic Food Options, Snack Shops",https://s3-media0.fl.yelpcdn.com/bphoto/rXVto9ZcMCtOrgiJdcpFWw/1000s.jpg,2500.0,3.75,2 vacant spots open,$-$$$
North Valley Plaza,"1051 Lincoln Ave, San Jose, CA 95125","Casual Dining, Fast-Casual Options, Family-Friendly Restaurants, Coffee Shops",https://img1.wsimg.com/isteam/ip/74c62fb3-643a-4f9c-a9f9-91f2d04850ce/FRONT%20PAGE-0001.jpg,2500.0,3.75,1 vacant spot open,$$-$$$
Southbay Shopping Center,"2150 Monterey Hwy, San Jose, CA 95112","Fast Food Chains, Casual Dining, Ethnic Cuisines, Quick-Service Restaurants",https://eastern-re.com/wp-content/uploads/2022/04/SouthBay-Pavilion-Shopping-Mall-20700-S-Avalon-Blvd-88-scaled-e1652117554460.jpg,2500.0,3.75,Coming Soon!,$$-$$$
