Business Corridor,Address,Day,Date,Foot Traffic Volume
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-01-01,1338
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-01-02,2911
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-01-03,3395
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-01-04,3443
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-01-05,1849
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-01-06,5155
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-01-07,5928
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-01-08,5822
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-01-09,3944
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-01-10,4612
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-01-11,656
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-01-12,2851
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-01-13,2228
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-01-14,3114
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-01-15,3952
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-01-16,483
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-01-17,2276
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-01-18,3588
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-01-19,2941
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-01-20,4989
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-01-21,2425
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-01-22,5093
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-01-23,3535
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-01-24,4499
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-01-25,3324
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-01-26,4150
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-01-27,1907
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-01-28,1036
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-01-29,5608
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-01-30,2171
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-01-31,1491
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-02-01,2836
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-02-02,4164
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-02-03,2657
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-02-04,2071
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-02-05,5909
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-02-06,3659
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-02-07,1219
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-02-08,2081
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-02-09,2403
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-02-10,5805
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-02-11,6187
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-02-12,3368
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-02-13,910
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-02-14,2877
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-02-15,3624
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-02-16,1040
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-02-17,3240
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-02-18,4642
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-02-19,2894
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-02-20,3710
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-02-21,2993
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-02-22,3156
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-02-23,5024
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-02-24,3586
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-02-25,6634
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-02-26,1269
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-02-27,486
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-02-28,740
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-03-01,505
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-03-02,3614
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-03-03,2233
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-03-04,6216
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-03-05,3670
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-03-06,3612
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-03-07,3239
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-03-08,3281
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-03-09,1732
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-03-10,2885
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-03-11,3790
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-03-12,2410
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-03-13,3993
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-03-14,2307
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-03-15,1647
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-03-16,3018
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-03-17,2834
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-03-18,3742
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-03-19,4017
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-03-20,4344
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-03-21,1694
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-03-22,4679
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-03-23,2747
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-03-24,5746
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-03-25,4795
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-03-26,2112
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-03-27,3617
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-03-28,4051
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-03-29,3229
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-03-30,4460
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-03-31,4401
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-04-01,5950
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-04-02,4013
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-04-03,3026
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-04-04,3281
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-04-05,4196
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-04-06,4401
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-04-07,2502
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-04-08,3234
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-04-09,6295
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-04-10,4048
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-04-11,3548
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-04-12,1546
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-04-13,2783
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-04-14,2818
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-04-15,2848
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-04-16,4677
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-04-17,2630
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-04-18,2598
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-04-19,3784
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-04-20,2986
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-04-21,4659
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-04-22,1336
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-04-23,4167
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-04-24,3910
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-04-25,4099
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-04-26,3151
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-04-27,2190
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-04-28,1792
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-04-29,2613
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-04-30,5443
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-05-01,3374
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-05-02,559
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-05-03,2005
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-05-04,1595
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-05-05,1639
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-05-06,4417
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-05-07,5404
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-05-08,1940
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-05-09,1938
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-05-10,1630
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-05-11,2714
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-05-12,5418
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-05-13,2521
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-05-14,2035
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-05-15,1323
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-05-16,4089
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-05-17,1463
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-05-18,2420
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-05-19,4751
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-05-20,1546
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-05-21,1062
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-05-22,3868
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-05-23,4606
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-05-24,4782
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-05-25,1600
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-05-26,6029
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-05-27,3798
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-05-28,6291
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-05-29,2949
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-05-30,3901
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-05-31,1133
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-06-01,3082
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-06-02,1952
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-06-03,3738
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-06-04,3817
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-06-05,1021
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-06-06,602
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-06-07,1211
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2023-06-08,2660
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2023-06-09,4040
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2023-06-10,4593
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2023-06-11,4508
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2023-06-12,4310
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2023-06-13,1206
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2023-06-14,2676
