Business Corridor,Address,Day,Date,Foot Traffic Volume
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,1/1/2023,956
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,1/2/2023,3235
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,1/3/2023,3574
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,1/4/2023,3443
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,1/5/2023,1761
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,1/6/2023,3966
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,1/7/2023,3952
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,1/8/2023,4159
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,1/9/2023,4383
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,1/10/2023,4855
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,1/11/2023,656
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,1/12/2023,811
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,1/13/2023,1714
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,1/14/2023,2076
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,1/15/2023,2823
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,1/16/2023,537
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,1/17/2023,2396
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,1/18/2023,3588
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,1/19/2023,2801
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,1/20/2023,3838
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,1/21/2023,1617
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,1/22/2023,3638
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,1/23/2023,3928
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,1/24/2023,4736
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,1/25/2023,3324
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,1/26/2023,3953
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,1/27/2023,1467
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,1/28/2023,691
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,1/29/2023,4006
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,1/30/2023,2413
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,1/31/2023,1570
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2/1/2023,2836
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2/2/2023,3966
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2/3/2023,506
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2/4/2023,1381
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2/5/2023,4221
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2/6/2023,4066
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2/7/2023,1284
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2/8/2023,2081
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2/9/2023,2289
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2/10/2023,4466
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2/11/2023,4125
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2/12/2023,2406
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2/13/2023,1012
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2/14/2023,3029
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2/15/2023,3624
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2/16/2023,991
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2/17/2023,2493
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2/18/2023,3095
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2/19/2023,639
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2/20/2023,4123
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2/21/2023,3151
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,2/22/2023,3156
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,2/23/2023,4785
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,2/24/2023,2759
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,2/25/2023,4423
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,2/26/2023,907
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,2/27/2023,541
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,2/28/2023,779
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,3/1/2023,505
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,3/2/2023,3442
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,3/3/2023,1718
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,3/4/2023,4144
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,3/5/2023,2622
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,3/6/2023,4014
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,3/7/2023,3410
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,3/8/2023,3281
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,3/9/2023,1650
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,3/10/2023,681
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,3/11/2023,2527
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,3/12/2023,1722
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,3/13/2023,4437
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,3/14/2023,2429
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,3/15/2023,1647
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,3/16/2023,2875
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,3/17/2023,2180
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,3/18/2023,2495
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,3/19/2023,2870
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,3/20/2023,4827
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,3/21/2023,1784
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,3/22/2023,4679
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,3/23/2023,2617
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,3/24/2023,4420
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,3/25/2023,3197
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,3/26/2023,1509
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,3/27/2023,4019
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,3/28/2023,4265
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,3/29/2023,3229
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,3/30/2023,4248
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,3/31/2023,3386
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,4/1/2023,3967
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,4/2/2023,2867
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,4/3/2023,3363
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,4/4/2023,3454
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,4/5/2023,4196
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,4/6/2023,4192
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,4/7/2023,1925
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,4/8/2023,2156
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,4/9/2023,4497
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,4/10/2023,4498
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,4/11/2023,3735
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,4/12/2023,546
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,4/13/2023,2651
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,4/14/2023,2168
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,4/15/2023,1899
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,4/16/2023,3341
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,4/17/2023,2923
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,4/18/2023,2735
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,4/19/2023,3784
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,4/20/2023,2844
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,4/21/2023,507
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,4/22/2023,891
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,4/23/2023,2977
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,4/24/2023,4345
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,4/25/2023,4315
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,4/26/2023,3151
Santana Row,"377 Santana Row, San Jose, CA 95128",Thursday,4/27/2023,2086
Santana Row,"377 Santana Row, San Jose, CA 95128",Friday,4/28/2023,1379
Santana Row,"377 Santana Row, San Jose, CA 95128",Saturday,4/29/2023,1742
Santana Row,"377 Santana Row, San Jose, CA 95128",Sunday,4/30/2023,3888
Santana Row,"377 Santana Row, San Jose, CA 95128",Monday,5/1/2023,3749
Santana Row,"377 Santana Row, San Jose, CA 95128",Tuesday,5/2/2023,589
Santana Row,"377 Santana Row, San Jose, CA 95128",Wednesday,5/3/2023,2005
